"AgeAtScan","Performance.IQ","Verbal.IQ","FullScaleIQ","RGCCAPredAgeAtScan","RGCCAPredPerformance.IQ","RGCCAPredVerbal.IQ","RGCCAPredFullScaleIQ","SiMLRRegPredAgeAtScan","SiMLRRegPredPerformance.IQ","SiMLRRegPredVerbal.IQ","SiMLRRegPredFullScaleIQ","SiMLRCCAPredAgeAtScan","SiMLRCCAPredPerformance.IQ","SiMLRCCAPredVerbal.IQ","SiMLRCCAPredFullScaleIQ"
8,114,129,124,10.6162588474879,109.192674315416,113.80386271423,112.73869065872,8.90530524888681,104.751839419266,113.464856073983,110.53090732693,8.80062891603401,114.757746864015,116.038241172367,117.479764300326
10.5,119,129,127,9.5755202554991,106.627725737444,111.698250451322,109.414660240689,9.52130569134254,93.2747014824877,96.9395416082352,95.002810638125,10.1797475041376,106.790792775059,108.153998815432,108.765215003438
15.25,97,102,100,14.1632118136083,105.183551319318,112.632797029278,110.124511752149,13.646862127564,95.6140414173043,108.53313210458,102.121169245219,14.3382280581316,105.98265963536,110.902935223207,108.65176440061
13.5,135,140,144,12.5541335469443,108.852030263309,117.842355708484,116.495378193832,12.7109294789531,116.247277867485,116.874665953151,118.939445529732,12.8102444164942,106.138644090408,114.25131632988,111.712434116929
17,103,109,107,12.5152657139406,108.728133427886,101.009713715327,106.791183711459,13.4879552522808,122.743422195687,105.025804433585,116.485686749307,17.0252526332292,123.924294853829,111.959829811469,122.238624187052
11.75,98,89,93,12.4858422240957,112.43022288024,117.959725256982,117.602768409615,13.7177378457278,103.209294364887,112.55755461948,108.537901573162,11.5618777870678,131.749304502696,126.182852412521,132.300250302135
16.25,125,126,128,13.6598441103879,112.076993355783,116.503472315206,117.565178459987,13.691652758347,117.88639276189,119.74617594884,120.688600829129,13.1937188705377,119.136631482589,114.189597078516,120.242686059446
16,107,126,118,11.4376123802089,110.27933028832,111.43784009162,113.305023407024,14.0067261773362,108.25584017584,109.112440367606,109.978627551328,12.7940378323752,117.392153002874,115.945223451035,118.803380043198
14.25,77,94,84,13.6633595631518,105.01205050979,101.852506579898,102.595374026055,14.5745166161368,99.3818209382907,106.177358876305,103.057489583279,14.4299669957679,100.843493365766,97.0465808076473,98.320447277996
16.5,109,95,102,13.2638600284533,101.941972920355,97.3867799904852,100.056300859574,15.0212208033305,107.779008102723,108.916801118814,109.487525971225,15.1816651205807,103.705600904282,104.312932273035,104.162650256494
15.5,110,116,115,14.4925858277091,109.333483203034,112.060800265998,112.992966632978,16.0753242597311,110.220052904567,113.924347511789,114.32427725175,16.4736474298442,121.440472843908,122.674623714735,124.88658773622
12.25,124,127,128,12.246184085606,107.978086688243,108.01458645567,108.242433299521,11.5339905307109,102.682636035451,106.362207737983,105.37356370466,11.7517949368389,115.970048493785,105.459714992081,112.341575418559
9,99,101,100,13.9974619951125,103.82445564389,108.521418723429,107.560827456936,11.9038723361233,103.408120245359,109.012141645418,107.77325022014,11.4089277644091,111.272368400003,115.015303194803,116.430682981628
15,116,119,119,13.9829140875668,111.03506527079,108.618351933402,110.836004654119,15.6438483583546,107.681379102485,112.590681057951,112.038595510321,14.1108883755864,104.699602508695,103.23780453781,105.357390075751
17.25,106,104,106,13.1585222036132,105.048001209599,103.633714281927,105.123897151157,14.4690657208001,101.51363921264,105.258599631591,103.693828745047,15.9744802491304,97.355106818978,102.810361059457,100.859854761214
8.75,81,97,87,11.6087698662679,96.0871369929956,105.164998866132,100.713610830128,9.32352257129866,101.573174349286,110.801308230042,107.340925440641,11.8352163043578,93.1760466388102,102.852882880538,99.082495549834
8.5,124,99,112,11.1264708591179,110.430525023508,117.239208212868,114.919640873951,11.0425263851832,106.727548055736,112.613885649366,111.612137354896,11.9951235127314,107.7410727956,112.780917619614,111.95556870248
13.75,93,87,88,11.9607807439291,107.643106998955,111.015475684524,109.707642790474,12.7807648423685,103.404743875791,107.603071090584,106.336243497573,11.2364942948666,98.766446622223,108.435047934728,105.420196542361
14.25,109,111,112,13.1532739943697,100.647596647727,109.873407051278,107.710095200145,12.6986016703953,108.414423972731,109.665988746272,110.438027691007,12.3984506513351,102.582301322843,114.04699463423,108.93436872441
15.25,102,101,102,14.0869453258581,104.15985049449,117.432332797415,112.482011247355,11.1697797791724,103.760161827016,110.103626495798,108.30057962249,13.2259408554052,103.689430605289,117.216823760969,113.237395205877
15.5,102,99,103,13.9399336387406,114.990733449816,114.336855236787,117.208578504966,12.0761428588421,116.276038287451,115.726292084573,118.563250376603,14.9294643769553,100.431113469373,105.01720583092,103.758477034757
12,112,109,113,14.1808064172264,103.849938559027,104.501716199081,105.796516427628,14.4373548764465,114.101811341085,109.390474550305,113.221585348415,12.2561852567787,87.947188107713,91.2555701620845,88.1630386228377
