"AgeAtScan","Performance.IQ","Verbal.IQ","FullScaleIQ","RGCCAPredAgeAtScan","RGCCAPredPerformance.IQ","RGCCAPredVerbal.IQ","RGCCAPredFullScaleIQ","SiMLRRegPredAgeAtScan","SiMLRRegPredPerformance.IQ","SiMLRRegPredVerbal.IQ","SiMLRRegPredFullScaleIQ","SiMLRCCAPredAgeAtScan","SiMLRCCAPredPerformance.IQ","SiMLRCCAPredVerbal.IQ","SiMLRCCAPredFullScaleIQ"
14.25,102,99,101,11.7902580023112,106.517047824171,111.972110127955,110.006890411315,14.2909690780675,103.804407732698,107.236890709682,105.905086381617,15.3483265487077,101.239100997617,103.66726299914,104.629940551765
9.75,109,104,108,9.84184868427034,97.6898877981306,112.40545866473,106.18654324798,10.2837307246631,95.4110263539365,119.101379379714,107.987095255501,10.8699366960161,98.4826671285088,115.073093379044,106.972056745915
15.25,115,113,116,12.1358726237005,107.250406659011,103.867311556807,106.506042235711,12.4899753090268,113.903807232966,116.863367911392,117.935877269229,13.7480830904418,111.023505410195,107.925918064638,111.677163357616
17.5,116,112,116,14.4769557143043,103.442438563252,107.747054779354,106.6158073516,15.330084867987,100.456317449246,114.524610854986,108.641531136843,16.7079728273718,119.218267781342,118.47401336507,121.822775666874
9.75,107,115,113,12.8194070906145,107.261419368217,115.628066162601,114.122818149924,11.2370017186483,97.8205735627766,103.55194667202,101.018228276799,11.772179227153,107.317539610779,129.710220038453,121.270405306516
11.5,89,106,98,10.6018603022869,109.736147334743,113.553393350153,112.920357073067,10.8286437576792,108.544907883685,117.033765911763,114.22801809915,9.82716813826751,107.009181510873,116.72613877503,112.629477859951
12.75,120,123,125,12.6547448219573,97.4914330116333,107.456029947041,103.886856292862,10.9694629199686,102.98125210879,109.548583830174,106.822290226547,11.7429957271936,97.8164836489891,103.629809894634,101.224848431631
8.75,91,101,100,10.6017843715268,108.341288979113,119.713859722537,116.055383230498,8.47673265633302,99.4257498525497,98.0846611850884,98.782003352044,10.4613016753607,127.245974233849,129.050618067493,130.671564976391
10.75,91,87,87,12.5383046310972,99.4273986809618,107.841271142785,104.62262924735,11.8334642667158,115.723351016694,114.213482283114,117.155589084958,12.6747074506533,106.0985726571,118.911244972219,113.982726221289
13.75,99,98,99,13.3073611008629,101.635366692875,99.9930985206443,99.7489599952649,13.6015922577558,105.857209901644,105.991619929208,106.722182672843,13.9756269683156,103.018559407801,101.542982465049,102.613569589568
10.5,116,120,120,10.0031677681964,116.054311819152,119.293558622538,119.613076164355,10.7532891946921,119.846885795018,126.614451000524,125.600089293113,9.16980754869655,108.439124811751,117.300918327684,113.703419694715
13,104,119,113,13.8471411474,108.315570582142,105.776540519616,106.86168758083,12.2821217722098,108.158838283201,104.923182020545,107.160365220217,11.6806010868108,106.328529769603,115.200810657339,112.484612935672
16,106,109,108,12.4802274316281,107.398767477515,104.962124768632,107.323637008095,13.9970128526952,102.815310978407,91.7746216202073,97.4802825119424,14.2340210736669,109.180380059589,108.305754623098,110.671492438389
10.75,104,131,119,11.719222669506,106.815917354561,111.206723311049,109.975988524928,11.970625214862,103.892345154143,111.264404105879,108.950301613612,11.5166222956381,113.202948236578,114.80075634635,116.411464369632
11.75,84,135,107,13.4596934008375,101.098510973466,110.453313535689,106.353285078362,11.7702157380568,99.6738755166976,100.7033080773,99.4446799673659,11.8181119925671,108.994881422557,113.347844818035,111.484940672426
7,99,78,87,11.9284773649152,99.9138555740389,110.883372794174,105.720962546748,9.64999182422759,94.1540165624075,100.161173947532,97.4862699251113,8.48222537602493,114.500512500581,117.268562578458,117.441221450859
13.5,106,98,103,12.9636927648655,102.57069976915,110.950537950776,108.005337910895,14.3066062367104,103.139794487836,111.589289685888,108.505594103439,15.47944092281,106.013493371052,108.416506161493,107.468058893211
7.5,106,128,119,11.908301457405,107.418940083892,119.233561432161,114.58345830692,10.554991790916,101.685637786729,112.59307734215,108.252885284777,10.6890349046709,98.6700193923636,109.570449730622,105.12002730349
13,106,104,106,13.1863417327688,97.0971734303849,102.002705820177,99.8889864120747,14.2530950529004,106.183782915552,111.420257330848,110.36814739892,15.6929042965503,106.850270408353,108.7068686094,108.732996234653
9.5,129,137,138,10.6278294754021,106.634605425021,106.712765078879,106.235061475077,11.743514095633,114.910655316575,115.999294832208,117.496423944996,9.10521347571609,105.361552148917,105.520169658569,105.199338600532
7.75,105,115,111,11.2595126224044,108.48773910173,115.193146134487,112.868484638879,7.82983031111313,106.216852076854,110.551963589665,109.69016367289,7.72436115402315,114.185659046455,128.680707142166,122.733287851391
16,106,109,109,14.8835808343808,103.649054933712,110.473681886095,109.10789243139,15.9302521168091,108.204592504966,110.096178391482,110.391467050661,15.872306486656,102.521854582849,115.691225189858,109.945642897422
8.75,106,131,120,12.2465177826,108.49291379396,122.456932058247,116.441641623571,9.55753266613002,101.500789206272,117.348701234122,109.917427571758,11.0613370747044,109.899068071938,116.618158602125,115.054890172989
14.75,105,109,108,13.7796692087154,99.4739586755561,109.167169183241,104.769861576059,12.8155288456848,103.550713190678,113.081682008119,109.330097368131,12.597813240723,101.62108446414,114.753782870566,109.12945126434
13.5,106,110,109,13.3640653629464,111.114681443556,120.094454005421,117.87171992839,9.16944581903203,106.217792636065,105.471271241725,104.657980587488,8.90437859106872,106.884698704153,130.498338644952,119.382671080602
10.25,109,121,117,10.5036762592931,113.186944732413,114.623768110856,113.516337660451,6.48095815973042,120.134217943003,110.256578933656,117.228465784257,5.28263659216876,115.240013855342,128.383251773365,121.260727601986
12,116,108,113,14.2327497080897,100.222229502274,106.164076558493,104.745627987899,12.783698157938,109.606880386778,105.375572050057,108.507925985168,15.2018857213603,109.347010450283,114.368052716244,114.416756839157
9,112,98,106,10.635652485692,113.455609424201,131.417041098049,124.968843212181,10.3073732860902,100.855210639338,104.992845866761,103.472738300831,7.58665995020397,123.323663416991,132.858342321809,130.759173705959
11.75,79,85,80,12.8459851573181,112.926974388807,116.79870438654,117.345995654097,11.3814942234901,105.242273853907,111.303134981924,109.336498650998,11.7644635794289,111.428677654098,107.988229031716,111.572053511497
7.75,119,101,111,11.6369719422058,116.422684105075,130.115357315309,126.920657994997,5.99545073952602,100.86560583857,113.748229513491,106.635885402514,5.38401951170524,99.8770404952673,124.355112411091,112.059939338799
10.25,131,151,147,14.2960305319492,104.094910803446,110.194439228844,107.782919075774,11.1451686417365,105.384601280069,107.659273313034,107.629380200315,11.0121564715669,100.741849837874,115.585848434733,109.219212121327
9.25,138,138,143,10.6833620955131,99.898782155078,94.9939783234655,97.5421005670088,13.4028038025115,100.25314570134,99.5280286603655,100.838243346909,12.0336301447263,101.42628726458,100.872098331528,101.465043705216
14,109,98,105,10.474248896824,110.638740861844,105.545849539476,109.387531521019,10.7564232590548,113.357982130257,112.225642790488,114.745375781068,10.6552337722608,98.7945467919176,108.368424278972,104.450250749906
